LUCAS_ID,FID,CONTAINER_,Country,X_LAEA,Y_LAEA,Year,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW
52383540,38,195,LITHUANIA,5238000,3540000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.062950938,4.840668591,128.7617845,0.008255174,7.104557641
52561940,150,857,GREECE,5256000,1940000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.562511147,8.09226562,215.2542655,0.00261324,6.658897952
52584068,47,255,ESTONIA,5258000,4068000,2018,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,0.952825112,13.84573991,368.2966816,0.002587113,7.606894266
53323834,129,696,LATVIA,5332000,3834000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,15.3847352,106.0124611,2819.931464,0.005455712,90.86120996
53702216,133,742,BULGARIA,5370000,2216000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.847579425,9.051311145,240.7648764,0.003520362,11.27516779
53842676,135,752,ROMANIA,5384000,2676000,2018,Lucerne,Fodder crops,Cropland,Agriculture,1.30518346,17.72471365,471.477383,0.002768284,15.14003295
53861912,18,93,GREECE,5386000,1912000,2018,Durum wheat,Cereals,Cropland,Agriculture,0.627815025,9.559910607,254.2936221,0.002468859,17.58288467
54101838,108,594,GREECE,5410000,1838000,2018,Other bare soil,Other bare soil,Bare land and lichens/moss,Other,0,2.805305784,74.62113386,0,13.94468225
54202132,131,723,BULGARIA,5420000,2132000,2018,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.373402915,3.933177374,104.6225181,0.003569049,6.9958159
54382628,140,789,ROMANIA,5438000,2628000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.514006515,16.46181687,437.8843286,0.003457549,23.47956132
54382676,136,760,ROMANIA,5438000,2676000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.355716878,11.82765342,314.6155811,0.004309122,17.88375559
54401670,71,387,GREECE,5440000,1670000,2018,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,1.322767075,16.86164623,448.5197898,0.002949183,5.306799337
54482686,141,798,ROMANIA,5448000,2686000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.805934066,17.87692308,475.5261538,0.00379776,24.21718854
54662028,89,465,GREECE,5466000,2028000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.995754891,8.221360896,218.6881998,0.004553309,9.925187032
54982632,143,803,ROMANIA,5498000,2632000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.796392786,19.57181029,520.6101536,0.003450553,17.21964167
55282384,128,691,BULGARIA,5528000,2384000,2018,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.551756885,9.616334283,255.7944919,0.002157032,12.67208492
55362256,155,878,BULGARIA,5536000,2256000,2018,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.218191377,2.521322584,67.06718075,0.003253326,6.135877611
55442260,153,870,BULGARIA,5544000,2260000,2018,Sunflower,Non-permanent industrial crops,Cropland,Agriculture,0.454322386,6.214294702,165.3002391,0.002748468,12.55982835
55622854,147,814,ROMANIA,5562000,2854000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.727934316,10.84157492,288.3858929,0.002524168,11.4214876
55782690,137,769,ROMANIA,5578000,2690000,2018,Other mixed woodland,Mixed woodland,Woodland,Forest,2.165712978,22.29037919,592.9240864,0.003652597,27.56962865
56162386,134,743,BULGARIA,5616000,2386000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.908618276,30.15063654,802.0069319,0.002379803,15.89303734
56702146,125,677,GREECE,5670000,2146000,2018,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,0.575789109,5.613943809,149.3309053,0.003855793,4.788639366
57122348,152,869,BULGARIA,5712000,2348000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.857842248,17.75883953,472.3851315,0.001815981,8.479920345
57962548,144,805,ROMANIA,5796000,2548000,2018,Common wheat,Cereals,Cropland,Agriculture,0.256219357,6.882755281,183.0812905,0.001399484,8.521594684
64141632,149,840,CYPRUS,6414000,1632000,2018,Other fruit trees and berries,Permanent crops: fruit trees,Cropland,Agriculture,0.457015986,13.41563055,356.8557726,0.001280674,6.38510143
