Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
85,47282676,4728000,2676000,Spruce dominated mixed woodland,Mixed woodland,Woodland,Forest,0.880917003,5.755324418,153.0916295,0.005754181,21.47024504,92649.87858,TRUE
86,47362636,4736000,2636000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.834166026,13.13156546,349.2996413,0.005250982,13.55481728,51923.01994,TRUE
87,47642728,4764000,2728000,Spruce dominated coniferous woodland,Coniferous woodland,Woodland,Forest,4.450017295,23.92482417,636.4003228,0.006992481,52.59101345,142688.4719,TRUE
88,37342800,3734000,2800000,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,0.784389219,3.340917046,88.86839342,0.008826414,5.004156276,176181.7244,TRUE
89,28522106,2852000,2106000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,2.717001056,24.89123548,662.1068638,0.004103569,21.54101077,42755.11665,TRUE
90,28542018,2854000,2018000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.828205555,4.969233328,132.1816065,0.006265664,0.248838752,105603.0303,TRUE
91,56162386,5616000,2386000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.908618276,30.15063654,802.0069319,0.002379803,15.89303734,8485.281374,TRUE
92,57122348,5712000,2348000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.857842248,17.75883953,472.3851315,0.001815981,8.479920345,106901.8241,TRUE
93,48941830,4894000,1830000,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,1.886363636,21.7317916,578.0656566,0.003263234,17.48642869,397079.3372,TRUE
94,52561940,5256000,1940000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,0.562511147,8.09226562,215.2542655,0.00261324,6.658897952,44181.44407,TRUE
95,54662028,5466000,2028000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.995754891,8.221360896,218.6881998,0.004553309,9.925187032,169056.2037,TRUE
96,53323834,5332000,3834000,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,15.3847352,106.0124611,2819.931464,0.005455712,90.86120996,78409.18314,TRUE
97,54482686,5448000,2686000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.805934066,17.87692308,475.5261538,0.00379776,24.21718854,39849.71769,TRUE
98,53702216,5370000,2216000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.847579425,9.051311145,240.7648764,0.003520362,11.27516779,95036.83496,TRUE
99,54982632,5498000,2632000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,1.796392786,19.57181029,520.6101536,0.003450553,17.21964167,26907.24809,TRUE
100,55782690,5578000,2690000,Other mixed woodland,Mixed woodland,Woodland,Forest,2.165712978,22.29037919,592.9240864,0.003652597,27.56962865,34234.48554,TRUE
101,42763084,4276000,3084000,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.460791117,2.975942632,79.16007402,0.005821004,4.300182633,18000,TRUE
102,51503186,5150000,3186000,Other mixed woodland,Mixed woodland,Woodland,Forest,0.518659955,2.113059075,56.20737141,0.009227614,4.270521768,114856.4321,TRUE
103,35402092,3540000,2092000,Olive groves,Other permanent crops,Cropland,Agriculture,0.461031071,18.00902621,479.0400972,0.000962406,4.413472706,12000,TRUE
104,53861912,5386000,1912000,Durum wheat,Cereals,Cropland,Agriculture,0.627815025,9.559910607,254.2936221,0.002468859,17.58288467,58309.51895,TRUE
105,35702100,3570000,2100000,Barley,Cereals,Cropland,Agriculture,0,19.56610864,520.4584899,0,2.886529529,11661.90379,TRUE
106,36722782,3672000,2782000,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.652026424,10.62012736,282.4953877,0.002308096,7.482656095,33286.63395,TRUE
107,40783066,4078000,3066000,Dry pulses,"Dry pulses, vegetables, and flowers",Cropland,Agriculture,0.43147448,15.82073094,420.831443,0.00102529,9.662729472,108240.473,TRUE
108,40903100,4090000,3100000,Common wheat,Cereals,Cropland,Agriculture,0.260460251,7.765574152,206.5642724,0.001260916,4.985920159,112071.4058,TRUE
109,42462906,4246000,2906000,Triticale,Cereals,Cropland,Agriculture,0.647081194,7.470368258,198.7117957,0.00325638,11.70248489,70455.65982,TRUE
110,39822308,3982000,2308000,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.668969488,10.83093456,288.1028593,0.002321981,13.06306306,131041.978,TRUE
111,45502846,4550000,2846000,Common wheat,Cereals,Cropland,Agriculture,1.271737124,10.7765676,286.656698,0.004436447,10.71369705,103227.9032,TRUE
